Time(s)	IR_denoised_median
3.070000	869.186565
3.080000	869.186565
3.090000	869.186565
3.100000	833.344596
3.110000	680.418518
3.120000	478.858076
3.130000	301.139186
3.140000	183.354688
3.150000	100.775798
3.160000	68.042358
3.170000	54.029158
3.180000	54.029158
3.190000	54.029158
3.200000	64.821596
3.210000	90.843143
3.220000	120.756687
3.230000	131.804109
3.240000	131.804109
3.250000	131.804109
3.260000	112.775446
3.270000	80.029162
3.280000	66.267918
3.290000	66.267918
3.300000	66.267918
3.310000	71.172772
3.320000	76.694782
3.330000	89.155297
3.340000	110.683569
3.350000	150.333263
3.360000	157.360863
3.370000	203.863149
3.380000	246.803250
3.390000	271.552295
3.400000	326.499874
3.410000	345.006574
3.420000	396.651618
3.430000	437.229231
3.440000	458.984283
3.450000	521.718152
3.460000	526.962870
3.470000	526.962870
3.480000	526.962870
3.490000	459.739884
3.500000	298.885129
3.510000	115.865923
3.520000	-32.866337
3.530000	-99.953138
3.540000	-108.732216
3.550000	-152.885762
3.560000	-152.885762
3.570000	-152.885762
3.580000	-148.997289
3.590000	-142.893160
3.600000	-129.959443
3.610000	-114.929159
3.620000	-72.984245
3.630000	-48.833473
3.640000	-17.841757
3.650000	0.218777
3.660000	48.552123
3.670000	88.123467
3.680000	102.085151
3.690000	120.234373
3.700000	196.763174
3.710000	234.006074
3.720000	267.885882
3.730000	309.788046
3.740000	352.033780
3.750000	352.033780
3.760000	352.033780
3.770000	284.554128
3.780000	129.700009
3.790000	-44.598735
3.800000	-209.654532
3.810000	-333.666335
3.820000	-381.924497
3.830000	-405.894157
3.840000	-420.886573
3.850000	-421.515215
3.860000	-421.515215
3.870000	-420.886573
3.880000	-365.633977
3.890000	-331.291661
3.900000	-330.715559
3.910000	-330.715559
3.920000	-330.715559
3.930000	-351.451226
3.940000	-352.685910
3.950000	-352.685910
3.960000	-352.685910
3.970000	-352.449914
3.980000	-352.294705
3.990000	-318.583633
4.000000	-268.282442
4.010000	-247.876869
4.020000	-209.782464
4.030000	-178.293041
4.040000	-135.091048
4.050000	-103.749943
4.060000	-33.120145
4.070000	-0.485416
4.080000	-0.485416
4.090000	-0.485416
4.100000	-174.756788
4.110000	-277.445120
4.120000	-332.244125
4.130000	-351.099354
4.140000	-373.734084
4.150000	-374.267252
4.160000	-374.267252
4.170000	-374.267252
4.180000	-354.585985
4.190000	-354.585985
4.200000	-354.585985
4.210000	-389.937103
4.220000	-423.312001
4.230000	-466.643967
4.240000	-498.849011
4.250000	-509.137070
4.260000	-509.137070
4.270000	-509.137070
4.280000	-488.440191
4.290000	-453.837956
4.300000	-424.656497
4.310000	-385.370286
4.320000	-348.878063
4.330000	-308.776816
4.340000	-256.019599
4.350000	-202.167195
4.360000	-141.039673
4.370000	-52.446369
4.380000	45.908884
4.390000	124.314173
4.400000	195.045450
4.410000	273.155018
4.420000	344.173597
4.430000	460.251488
4.440000	693.429009
4.450000	1198.648272
4.460000	1715.616544
4.470000	1972.669508
4.480000	1972.669508
4.490000	1972.669508
4.500000	1972.669508
4.510000	1882.224707
4.520000	1841.236536
4.530000	1532.481917
4.540000	746.320396
4.550000	34.343268
4.560000	-438.064641
4.570000	-746.385206
4.580000	-889.253492
