2025-10-08 21:06:47    绿光---红外光---红光
-1.996435E+09 -2.85409E+08 9.216922E+08
2.87182E+08 9.549252E+08 3.245696E+07
-9.023693E+08 -7.697126E+08 2.052019E+07
2.685623E+08 9.359962E+08 1.377001E+07
1.392589E+09 -2.665344E+08 5.073004E+08
5.201475E+08 -2.792486E+08 5.861622E+08
3.543039E+08 9.580054E+08 3.24631E+07
-9.040077E+08 -7.72334E+08 2.051405E+07
4.0278E+08 1.13732E+09 1.373981E+07
1.493252E+09 -2.666E+08 5.086111E+08
-1.962879E+09 -2.795107E+08 6.532572E+08
1.461591E+09 1.026818E+09 3.246285E+07
-9.041388E+08 -6.82091E+08 2.074317E+07
2.350078E+08 8.688809E+08 1.395613E+07
1.543585E+09 -2.664033E+08 5.081523E+08
5.038508E+07 -2.795107E+08 2.841738E+08
-1.273083E+09 9.201912E+08 3.246285E+07
-9.047286E+08 -8.265978E+08 2.03735E+07
3.356711E+08 1.271535E+09 1.355344E+07
1.493252E+09 -2.673208E+08 5.082834E+08
6.716222E+07 -2.795763E+08 9.552494E+08
-1.071767E+09 9.549908E+08 3.24631E+07
-9.025659E+08 -7.698437E+08 2.051942E+07
2.182306E+08 8.688881E+08 1.376848E+07
1.392589E+09 -2.664033E+08 5.080868E+08
3.859297E+08 -2.799695E+08 9.049298E+08
-7.529875E+08 9.579399E+08 3.246106E+07
-9.024348E+08 -7.814435E+08 2.05184E+07
4.866661E+08 1.405757E+09 1.369219E+07
1.459698E+09 -2.664689E+08 5.089388E+08
2.684887E+08 -2.80035E+08 1.19013E+09
-2.145506E+09 9.576122E+08 3.246131E+07
-9.019761E+08 -7.809193E+08 2.051814E+07
-6.698206E+07 6.507832E+08 1.382864E+07
1.342257E+09 -2.681073E+08 5.065795E+08
3.35599E+08 -2.801661E+08 5.190482E+08
-1.79318E+09 9.572845E+08 3.246029E+07
-9.036145E+08 -6.95919E+08 2.051789E+07
5.705521E+08 1.271538E+09 1.403446E+07
1.258371E+09 -2.662067E+08 5.0848E+08
3.355978E+08 -2.832463E+08 3.344845E+08
-6.187861E+08 9.578744E+08 3.24265E+07
-9.053184E+08 -8.066749E+08 2.051942E+07
2.014531E+08 8.688773E+08 1.363331E+07
8.221637E+08 -2.671242E+08 5.071693E+08
3.020432E+08 -2.985162E+08 1.667277E+08
-4.17448E+08 9.578744E+08 3.240115E+07
-9.04532E+08 -7.792153E+08 2.051968E+07
-1.665058E+07 1.154093E+09 1.376976E+07
8.221637E+08 -2.679107E+08 5.083489E+08
3.188209E+08 -2.421552E+08 2.170552E+08
3.710701E+08 9.573501E+08 3.260493E+07
-9.054495E+08 -7.703679E+08 2.051661E+07
5.045899E+07 7.178816E+08 1.376822E+07
4.866194E+08 -2.683694E+08 5.05793E+08
2.684892E+08 -2.59981E+08 -1.688184E+08
2.871889E+08 9.568913E+08 3.247795E+07
-9.065636E+08 -7.70499E+08 2.05161E+07
1.17567E+08 8.520986E+08 1.376797E+07
6.87946E+08 -2.677141E+08 5.069727E+08
1.174943E+08 -2.91897E+08 1.834993E+08
3.039674E+08 9.568913E+08 3.244749E+07
-9.042698E+08 -7.706301E+08 2.051584E+07
5.202205E+08 1.137318E+09 1.376592E+07
1.040268E+09 -2.660101E+08 5.081524E+08
53773 -2.814113E+08 5.190546E+08
2.033141E+08 9.558428E+08 3.244774E+07
-9.044008E+08 -7.707612E+08 2.050586E+07
7.383242E+08 1.607082E+09 1.37672E+07
1.007433E+08 -2.662723E+08 5.079557E+08
-1.672344E+07 -3.330536E+08 8.71372E+08
2.368619E+08 9.455536E+08 3.232563E+07
-9.023693E+08 -7.708267E+08 2.051917E+07
4.363345E+08 1.305098E+09 1.376592E+07
1.879129E+09 -2.669276E+08 5.085456E+08
9.563551E+08 -1.692792E+08 6.70047E+08
1.697576E+08 9.93657E+08 3.289574E+07
-9.035489E+08 -7.710888E+08 2.064717E+07
4.698904E+08 1.08699E+09 1.376541E+07
7.550553E+08 -2.671898E+08 5.076281E+08
-6.374804E+08 -3.387553E+08 4.854912E+08
1.529743E+08 9.374927E+08 3.223603E+07
-9.041388E+08 -7.712199E+08 2.044723E+07
5.202197E+08 1.070211E+09 1.376489E+07
-5.025172E+07 -2.661412E+08 5.076936E+08
-1.946103E+09 -3.028415E+08 7.036045E+08
5.231687E+07 9.548597E+08 3.244416E+07
-9.039421E+08 -7.716131E+08 2.05097E+07
5.705521E+08 1.288317E+09 1.376387E+07
8.053865E+08 -2.660101E+08 5.078902E+08
1.174942E+08 -2.933388E+08 6.532662E+08
1.562263E+09 9.224849E+08 3.236403E+07
-9.036145E+08 -7.889802E+08 2.030336E+07
5.369971E+08 1.372204E+09 1.369065E+07
-1.676929E+08 -2.661412E+08 5.089388E+08
-4.361541E+08 -3.156866E+08 7.203804E+08
1.243502E+09 9.193392E+08 3.235866E+07
-9.034178E+08 -7.752176E+08 2.046874E+07
8.725419E+08 1.456089E+09 1.37951E+07
1.241594E+09 -2.680417E+08 5.067106E+08
-1.124019E+09 -2.077488E+08 1.206914E+09
3.039718E+08 1.059783E+09 3.271782E+07
-9.023693E+08 -7.433016E+08 2.084454E+07
5.369985E+08 1.456092E+09 1.382659E+07
1.007442E+08 -2.660757E+08 5.09332E+08
4.530385E+08 -2.942563E+08 1.022372E+09
-4.342188E+08 8.992196E+08 3.230669E+07
-9.020415E+08 -7.902253E+08 2.028826E+07
4.866655E+08 1.422539E+09 1.369117E+07
-1.669796E+07 -2.698768E+08 5.050067E+08
1.241567E+09 -3.107059E+08 1.055922E+09
1.042172E+09 9.163901E+08 3.235277E+07
-9.01845E+08 -7.807226E+08 2.040422E+07
4.027797E+08 1.489645E+09 1.375849E+07
8.053864E+08 -2.670587E+08 5.092009E+08
