2025-10-08 21:06:47    绿光---红外光---红光
-1.208556E+09 1.643381E+09 7907584
2933548 5.832003E+08 8955136
1.593881E+09 -1.713363E+07 2137073
-2.012936E+08 -1.055129E+09 -1.187535E+08
5.368762E+08 1.621557E+09 6.332838E+08
5.701228E+08 1.094386E+09 3960064
-1.865969E+08 1.851372E+08 3990528
-4.529726E+08 -2.08159E+09 1228010
1.224765E+09 -1.04117E+09 -2.180413E+08
-1.342097E+08 -1.526858E+09 1.806538E+08
-1.627593E+09 -6.548356E+08 1.36791E+07
-2.327993E+08 9.604958E+08 1.955123E+07
-8.387917E+08 -6.754182E+07 4122378
-8.052253E+08 -1.10474E+09 2.572938E+08
-1.543487E+09 1.675363E+09 9.660723E+07
-8.384479E+08 1.120076E+09 2.36503E+07
-1.461607E+08 1.361839E+09 2.537062E+07
1.795269E+09 1.023034E+09 7014923
-9.226215E+08 -1.076756E+09 2.150225E+08
-6.374781E+08 -1.543765E+09 1.806538E+08
-3.37572E+07 -1.386152E+09 5.688883E+07
-2.327993E+08 -1.466695E+09 3.941888E+07
-8.386514E+08 -6.754182E+07 1.222324E+07
1.744992E+09 -1.104739E+09 2.572938E+08
1.728109E+09 1.466959E+09 9.660723E+07
1.359367E+09 -8.75102E+08 7.060429E+07
-1.461607E+08 -9.819251E+08 4.095974E+07
1.79541E+09 1.023034E+09 1.173736E+07
-1.77824E+09 -1.076756E+09 2.150225E+08
1.996527E+09 -4.925026E+08 -7.762606E+08
1.845366E+09 9.981135E+08 5.633101E+07
-5.283977E+07 -8.839495E+08 4.26793E+07
-7.882817E+08 -7.218901E+08 1.490816E+07
-3.353596E+08 -1.086651E+09 1.028234E+08
3.188302E+08 1.242629E+09 2.109626E+09
-1.336824E+08 -7.437678E+08 6.743245E+07
-1.533054E+08 -3.924304E+08 4.280448E+07
-3.688647E+08 1.945468E+09 1.212926E+07
3.021209E+08 -9.659344E+08 -3.962332E+08
1.50996E+09 -1.255735E+09 1.959107E+09
1.088763E+09 -1.672151E+09 8676096
-1.82729E+08 6.66428E+08 1.115546E+07
-7.213781E+08 4.355665E+08 2818785
-1.627345E+09 -8.62388E+08 -5.23176E+08
-5.368598E+08 -7.34986E+08 -6.912893E+08
1.004687E+09 -1.132397E+09 1.20384E+07
-1.69818E+08 6.235026E+08 1.178675E+07
1.05701E+09 1.626698E+09 2602470
1.929429E+09 -1.021313E+09 -4.383083E+08
6.039948E+08 1.010369E+09 1.992488E+09
-2.017838E+08 1.47397E+09 2.872499E+07
-1.648396E+08 1.766854E+09 3.021158E+07
1.493342E+09 -1.779489E+09 9425167
1.644336E+09 -1.00211E+09 1.594438E+08
-1.409237E+09 1.834026E+09 2.109935E+09
-1.408818E+09 2.082013E+09 1.052874E+08
-1.547467E+08 1.108233E+08 8.337178E+07
-1.878606E+09 1.509251E+09 1.945191E+07
1.141199E+09 -1.019214E+09 9.279487E+07
2.349698E+08 1.260271E+08 -1.9671E+09
-8.71679E+08 -1.95271E+09 1.181312E+08
-2.199553E+08 1.788742E+09 9.331866E+07
2.017884E+08 -4.035469E+08 2.410983E+07
6.043452E+08 -1.032256E+09 -3.277097E+07
3.188624E+08 2.355378E+08 -1.446887E+09
1.509595E+09 -1.719992E+09 1.18387E+08
-1.677227E+08 2.045506E+09 9.409485E+07
-1.002008E+08 -1.007086E+09 2.491979E+07
1.090887E+09 -1.027209E+09 -2.588688E+08
-9.562024E+08 2.661431E+08 -1.111391E+09
1.156432E+09 -1.55163E+09 1.184328E+08
-1.101819E+08 -2.05174E+09 9.455002E+07
-1.257829E+09 -1.14129E+09 2.562917E+07
1.345868E+08 -1.027865E+09 -2.744011E+08
2.853131E+08 2.043427E+08 -3.899251E+08
-1.443963E+09 -1.592918E+09 1.1822E+08
-1.474064E+08 -1.964119E+09 9.44448E+07
-2.113468E+09 -4.871051E+08 2.595377E+07
1.275437E+09 -1.050278E+09 -3.03827E+08
-6.038774E+08 1.949055E+08 1.522654E+09
4.931967E+07 -1.534984E+09 1.181906E+08
-1.258451E+08 -1.843401E+09 9.468826E+07
1.762069E+09 5.363742E+08 2.643454E+07
1.174775E+09 -1.051327E+09 -2.615562E+08
1.560385E+09 1.937259E+08 1.421968E+09
-1.343196E+09 -1.490944E+09 1.182052E+08
-1.279422E+08 -1.766527E+09 9.488E+07
-1.07328E+09 -5.038219E+08 2.67164E+07
-1.241143E+09 -1.047001E+09 -2.752532E+08
-8.37813E+07 1.46671E+08 4.32108E+08
8.210432E+08 -1.608515E+09 1.178227E+08
-1.321366E+08 -1.732841E+09 9.405005E+07
-1.794703E+09 -1.527242E+09 2.677246E+07
-1.694132E+09 -1.045953E+09 -2.558545E+08
7.886338E+08 -1.343345E+07 2.076292E+09
1.290841E+09 -1.796407E+09 1.173737E+08
-1.268937E+08 -1.710362E+09 9.370061E+07
1.174864E+09 1.001581E+08 2.692939E+07
-9.559349E+08 -1.055324E+09 -2.704036E+08
-1.778279E+09 4.286198E+07 1.522668E+09
-1.158699E+09 -1.61402E+09 1.176696E+08
-1.290562E+08 -1.617302E+09 9.445965E+07
