# approx = A4 after wdenoise(Level=4, Wavelet=sym8, Method=Bayes, Rule=Soft, Noise=LevelIndependent), detrend=linear
2025-08-20 02:43:45    绿光---红外光---红光---X轴---Y轴---Z轴

-1174.44930356412	-1005.60520314773	-493.391475935876	-260.191699975369	-626.583955825819	957.820357896323
-1104.20122366807	-966.025426819888	-473.197249284232	-256.554039160827	-626.84329946472	961.950802012788
-1036.71184214641	-928.147733685395	-453.93435217719	-253.387679468314	-627.893055496505	967.072585060951
-972.522633338527	-892.441870248248	-435.89980732336	-250.810771570044	-629.977526821513	973.481520826004
-914.244355474057	-860.474843846458	-419.930963835502	-249.085902983358	-633.449603672123	981.529083906963
-864.162748543487	-833.547161010439	-406.699728242493	-248.408384816995	-638.512834246439	991.382966648044
-825.25461971052	-813.537553681384	-397.239571190935	-249.114628737728	-645.685085438577	1003.59380847276
-800.331617232785	-802.190258197918	-392.500906355537	-251.508465504549	-655.418443380363	1018.63228054178
-787.936517808824	-798.542134999543	-391.939686329933	-255.390338616505	-667.32692651906	1036.04416894617
-785.388531700204	-800.914630358519	-394.635225879762	-260.438654883519	-680.85130251268	1055.19620395503
-790.693339992428	-807.852837303085	-399.727221167929	-266.328463746929	-695.339908163645	1075.30813733131
-801.255866620375	-817.519282204878	-406.143715395796	-272.663115868098	-710.020808358914	1095.46608554534
-815.79576263719	-829.240867160431	-413.554519691082	-279.322802588962	-724.728593157071	1115.48960578316
-833.690612646426	-842.752382540552	-421.85210517574	-286.259268079564	-739.420397442642	1135.33081981182
-852.532583954351	-856.708490112243	-430.347574756372	-293.241732180789	-753.756790486413	1154.62754447615
-870.062052232396	-869.87543277927	-438.419108068028	-300.060868253185	-767.4459704818	1173.07240058474
-885.598052676629	-881.507615765967	-445.562272083498	-306.492133503012	-779.983438964368	1190.02113254284
-898.416482407677	-890.679401618734	-451.127525542	-312.252261150035	-790.702354805766	1204.62242188732
-908.913362346694	-897.414179464338	-455.061533299468	-317.262442515342	-799.392412960537	1216.56716546201
-917.724977361346	-901.83607964433	-457.35136658485	-321.451858847354	-805.841765944308	1225.53428914558
-922.790555968265	-902.394991165905	-457.067845844609	-324.483466018987	-809.3555946104	1230.69242987169
-921.837484361439	-897.542280103961	-453.322898897992	-326.047910829585	-809.333921132868	1231.34142157962
-913.083353538164	-885.753036688024	-445.156664174054	-325.783648789901	-805.001437330669	1226.53240509134
-894.663097076042	-865.51313137033	-431.633646117595	-323.348494140719	-795.632536981956	1215.3853528977
-867.302252874434	-837.532148886165	-413.221855757936	-318.876755364474	-781.566041112545	1198.28579171455
-832.836578267818	-803.315888297124	-390.857715837396	-312.650924646529	-763.455986130355	1175.97763079517
-791.401692011504	-763.469001356517	-365.029174217647	-304.864026694563	-741.797791638477	1149.08026993588
-743.484724997887	-718.904591916285	-336.420395786382	-295.776812058943	-717.240075500851	1118.39667654569
-690.748703303475	-670.700254065036	-305.636475332538	-285.547972073652	-690.138148462509	1084.28799516545
-634.399170947621	-619.569753907834	-273.058626200191	-274.272961910139	-660.702005792514	1046.94835583942
-577.043432276308	-567.284520520821	-239.705600147509	-262.227924445301	-629.548552908346	1007.0374592301
-521.296144451676	-515.584239480933	-206.567561724642	-249.682802044459	-597.275541518637	965.189760764447
-465.751927709871	-464.085363757862	-173.57917922392	-236.717245871065	-564.122397915762	921.77067186517
-408.127788763662	-412.036450724421	-140.52646784921	-223.395638317357	-530.32130696258	877.181896425732
-346.838110716318	-358.712327920905	-107.08658020963	-209.720044107342	-495.917456264943	831.541359081504
-279.838764549634	-303.130551494324	-72.8034255370651	-195.66943970729	-460.908544017522	784.929144584148
-206.999649283671	-245.79081081012	-38.1271089503184	-181.426975192686	-425.781073142977	737.980016067844
-129.118689122498	-187.644436341558	-3.71893741210791	-167.204142099498	-391.070745127982	691.347560933291
-44.9902401765446	-128.659631285781	30.2227416928207	-153.16466677624	-357.226215752962	645.676353284031
46.1690138738301	-69.0017505149566	63.4098650371781	-139.473800469005	-324.697787379088	601.594469510239
143.375842133411	-8.96948038864431	95.7734548061729	-126.152597944533	-293.510304626572	559.068907702184
245.815373413813	51.4807099263628	127.505655804563	-113.160473251867	-263.515222804613	517.846438674569
350.541437510812	111.084380962294	158.078217889759	-100.528184167763	-234.761762522235	477.835527336536
454.330918935846	168.543131649336	186.986084763749	-88.2682428239055	-207.242950471302	438.856194238736
558.144569056582	224.632803622104	214.712616650279	-76.3547399173692	-180.855536979038	400.822280875807
663.084038258816	280.09020598602	241.679898081454	-64.7764004976184	-155.545718866792	363.728526983177
770.160551935831	335.924976008558	268.564036373599	-53.4711675518767	-131.097715312341	327.333901722485
880.605220139443	393.249968194561	296.08734869548	-42.3731259867257	-107.286442519519	291.402127125725
990.546597531932	450.079836030986	323.273055845269	-31.543263222751	-84.2757896214635	255.978775544819
1094.43798933379	503.500942486125	348.664843415992	-21.0753344196411	-62.3236384367836	221.146674830359
1189.63340481807	552.038601225951	371.489280420107	-11.0313569744679	-41.6005136720496	187.045884337667
1272.99141563984	593.906177979366	390.797977601996	-1.48392589752701	-22.312301258047	153.84456097948
1341.03323316416	627.533187934057	405.903169110369	7.52052745494389	-4.55171518414329	121.480264761924
1391.68829639851	652.161585864594	416.549548356457	15.9588423154371	11.6666409754573	89.8536992338785
1419.88024304431	665.310868008395	421.567457996272	23.7758163114761	26.2029746591421	58.9014523072027
1421.22271443847	664.881595856662	419.985813137434	30.9188011512892	38.9348303473097	28.5647681647113
1398.29538163014	652.244949955428	412.486898161073	37.3992088237196	49.9310905308292	-1.05809017462632
