Time(s)	RED_denoised_median
3.090000	20.516176
3.100000	-49.847934
3.110000	-90.950696
3.120000	-104.261924
3.130000	-114.971831
3.140000	-124.664299
3.150000	-192.203962
3.160000	-234.564796
3.170000	-234.564796
3.180000	-234.564796
3.190000	-178.379717
3.200000	-128.222666
3.210000	-90.543771
3.220000	-85.976267
3.230000	-83.828824
3.240000	-83.828824
3.250000	-83.246265
3.260000	-83.246265
3.270000	-83.246265
3.280000	-71.424930
3.290000	-54.739461
3.300000	-36.271142
3.310000	-19.293892
3.320000	8.865304
3.330000	21.983271
3.340000	44.077732
3.350000	49.060371
3.360000	55.349524
3.370000	71.075082
3.380000	71.075082
3.390000	71.075082
3.400000	32.421447
3.410000	11.207481
3.420000	-9.846505
3.430000	-50.937664
3.440000	-52.739007
3.450000	-57.447366
3.460000	-57.447366
3.470000	-57.447366
3.480000	-46.121207
3.490000	-25.783031
3.500000	-15.190977
3.510000	-10.451762
3.520000	-8.724888
3.530000	-3.063132
3.540000	-2.397542
3.550000	-1.784580
3.560000	5.513688
3.570000	5.862246
3.580000	7.081891
3.590000	30.083416
3.600000	48.446777
3.610000	71.328545
3.620000	75.648934
3.630000	101.673031
3.640000	119.583545
3.650000	131.028444
3.660000	156.493964
3.670000	167.172098
3.680000	173.401050
3.690000	173.401050
3.700000	173.401050
3.710000	171.019988
3.720000	153.250881
3.730000	129.862739
3.740000	109.016841
3.750000	67.539524
3.760000	40.863420
3.770000	36.057614
3.780000	36.057614
3.790000	36.057614
3.800000	37.100614
3.810000	51.988482
3.820000	64.679000
3.830000	71.149660
3.840000	72.450071
3.850000	72.450071
3.860000	71.149660
3.870000	70.751739
3.880000	68.646618
3.890000	53.862272
3.900000	20.774799
3.910000	20.774799
3.920000	20.774799
3.930000	25.992185
3.940000	45.625030
3.950000	64.908608
3.960000	80.424126
3.970000	108.790273
3.980000	134.043489
3.990000	158.631810
4.000000	183.567756
4.010000	198.004123
4.020000	199.352870
4.030000	199.352870
4.040000	198.004123
4.050000	188.738070
4.060000	148.335265
4.070000	129.475026
4.080000	88.094621
4.090000	43.290164
4.100000	20.776403
4.110000	12.917484
4.120000	12.917484
4.130000	12.917484
4.140000	25.558782
4.150000	39.272203
4.160000	46.790799
4.170000	54.760321
4.180000	65.831830
4.190000	75.576152
4.200000	312.966399
4.210000	391.681684
4.220000	446.471878
4.230000	497.370318
4.240000	530.782703
4.250000	568.052141
4.260000	589.878651
4.270000	632.783554
4.280000	665.553107
4.290000	665.553107
4.300000	665.553107
4.310000	663.930337
4.320000	663.930337
4.330000	663.930337
4.340000	687.574905
4.350000	755.003005
4.360000	840.799000
4.370000	957.475709
4.380000	1074.796393
4.390000	1210.971657
4.400000	1398.723285
4.410000	1572.085649
4.420000	1729.716212
4.430000	1881.117411
4.440000	2116.819099
4.450000	2379.630275
4.460000	2574.704799
4.470000	2769.474476
4.480000	2997.382151
4.490000	3243.069008
4.500000	3482.920542
4.510000	3657.448047
4.520000	3791.573115
4.530000	3791.573115
4.540000	3791.573115
4.550000	3777.540199
4.560000	3751.877186
4.570000	3700.159714
4.580000	3530.245986
4.590000	2890.944576
4.600000	1429.486421
4.610000	-150.494000
4.620000	-1652.792684
4.630000	-2832.926739
4.640000	-3671.818566
4.650000	-3977.288439
4.660000	-3977.288439
4.670000	-3977.288439
4.680000	-3706.534304
4.690000	-3464.625770
4.700000	-3148.208679
4.710000	-2784.455223
4.720000	-2500.291413
4.730000	-2287.047368
4.740000	-2004.147696
4.750000	-1696.284907
4.760000	-1408.141181
4.770000	-1178.644550
4.780000	-984.101246
4.790000	-757.023141
4.800000	-538.499411
4.810000	-389.597133
4.820000	-284.800939
4.830000	-244.438841
4.840000	-220.614367
4.850000	-217.047726
4.860000	-184.193954
4.870000	-69.022609
4.880000	85.299631
4.890000	226.388456
4.900000	362.814426
4.910000	466.552174
4.920000	534.249527
4.930000	587.636691
4.940000	651.765199
4.950000	651.765199
4.960000	651.765199
4.970000	592.178600
4.980000	456.451731
4.990000	266.109159
5.000000	92.121472
5.010000	-81.351971
5.020000	-277.382562
5.030000	-522.978489
5.040000	-724.711042
5.050000	-983.294127
5.060000	-1380.143062
5.070000	-1921.560657
5.080000	-2595.683025
5.090000	-3187.427504
5.100000	-3665.887935
5.110000	-4023.518209
5.120000	-4250.246190
5.130000	-4265.271593
5.140000	-4265.271593
5.150000	-4265.271593
5.160000	-4042.593759
5.170000	-3727.623693
5.180000	-3333.727635
5.190000	-2903.218985
5.200000	-2489.054817
5.210000	-2132.947831
5.220000	-1858.497031
5.230000	-1651.738623
5.240000	-1505.122293
5.250000	-1467.623934
5.260000	-1467.623934
5.270000	-1467.623934
5.280000	-1533.645440
5.290000	-1660.343852
5.300000	-1728.548806
5.310000	-1867.397986
5.320000	-2078.268870
5.330000	-2273.375051
5.340000	-2419.306324
5.350000	-2523.632916
5.360000	-2559.909460
5.370000	-2559.909460
5.380000	-2575.079074
5.390000	-2575.079074
5.400000	-2578.599776
5.410000	-2644.191218
5.420000	-2683.326289
5.430000	-2737.203772
5.440000	-2769.007894
5.450000	-2800.546749
5.460000	-2867.898127
5.470000	-2883.195170
5.480000	-2883.211092
5.490000	-2883.211092
5.500000	-2883.195170
5.510000	-2883.211092
5.520000	-2884.518106
5.530000	-2885.650309
5.540000	-2901.750416
5.550000	-2935.626202
5.560000	-2971.557399
5.570000	-2991.764998
5.580000	-2995.051807
5.590000	-2995.051807
5.600000	-2995.051807
5.610000	-2987.340210
5.620000	-2961.452537
5.630000	-2933.794555
5.640000	-2893.632906
5.650000	-2885.661262
5.660000	-2885.113510
5.670000	-2880.730908
5.680000	-2875.473819
5.690000	-2872.873602
5.700000	-2869.483632
5.710000	-2839.118082
5.720000	-2830.863986
5.730000	-2818.720206
5.740000	-2814.307541
5.750000	-2814.307541
5.760000	-2817.584862
5.770000	-2817.584862
5.780000	-2817.584862
